area,rooms,is_new,property_id,garages,stratum,property_type,baths,min_price,price,company_name,client_type,neighbourhood,city,latitude,longitude,zone
147.0,3,False,ea063e7a-cf82-4148-ac55-f6f9e7104a2e,3,Estrato 6,Apartamento,5,0,1150000000.0,ILAN INMOBILIARIA,BROKER,Castropol,Medellín,-75.56700134277344,6.214000225067139,SurOriente
110.0,3,False,b2ade3c7-79ab-4058-b77e-11ea236fe2f4,1,Estrato 5,Apartamento,2,0,580000000.0,Conectar Inmobiliaria,BROKER,Florida nueva,Medellín,-75.58794639999999,6.2498146,No Zone
81.0,3,False,887f4a4d-a5ea-4042-b674-ec91b6c71b31,1,Estrato 4,Apartamento,2,0,510000000.0,RHBRAIZ,BROKER,Calasanz,Medellín,-75.59898376464844,6.260915756225586,NorOccidente
100.0,4,False,f2c5789c-3858-4d0e-9512-5db3bc0212b4,2,Estrato 5,Apartamento,3,0,480000000.0,SURAMERICANA DE ARRENDAMIENTOS S.A.,BROKER,Loma del Escobero,Envigado,-75.5658187866211,6.247637748718262,No Zone
71.0,3,False,0a5abc1b-21c5-4a2a-994f-2bcb18007c51,1,Estrato 4,Apartamento,2,0,390000000.0,SHOWROOM INMOBILIARIO,BROKER,Centro Asomadera N 2,Medellín,-75.56458282470703,6.229481220245361,No Zone
92.0,3,False,ec0cd039-6ab6-4769-9b80-2cbbb399ef20,1,Estrato 5,Apartamento,2,0,475000000.0,Habitar Propiedad Raiz,BROKER,Los Colores,Medellín,-75.59416961669922,6.26966667175293,Occidente
134.0,3,False,eb8f7c23-c454-44e1-a167-8eb5209de41e,2,Estrato 6,Apartamento,4,0,1100000000.0,Eugenia Agente Inmobiliario,BROKER,La Calera,Medellín,-75.5602035522461,6.183657169342041,SurOriente
105.0,4,False,1d91b7ac-dcc0-4189-a482-5eb42ea87ce2,2,Estrato 5,Apartamento,4,0,650000000.0,Murillo Propiedades,BROKER,Laureles,Medellín,-75.59500122070312,6.24399995803833,SurOccidente
76.0,3,False,d4137ff7-0a36-4451-8913-a49db54f2a7f,1,Estrato 5,Apartamento,2,0,650000000.0,ESCOBAR ROLDAN PR,BROKER,San Diego,Medellín,-75.56769561767578,6.232290267944336,SurOriente
64.0,3,False,1ae99524-07ff-422a-843f-bac7fe5c8989,Sin especificar,Estrato 4,Apartamento,2,0,325000000.0,RHBRAIZ,BROKER,San Germán,Medellín,-75.58734130859375,6.26833963394165,NorOccidente
86.0,3,False,510fb1dc-7cbf-48e2-aa84-71ecfb3cc925,2,Estrato 4,Apartamento,2,0,550000000.0,Habitar Propiedad Raiz,BROKER,Los Colores,Medellín,-75.58584594726562,6.26214075088501,Occidente
68.0,3,False,b0ca1b62-d6bf-4108-bf5f-ece7e2c5efd8,Sin especificar,Estrato 4,Apartamento,2,0,250000000.0,SURAMERICANA DE ARRENDAMIENTOS S.A.,BROKER,Boston,Medellín,-75.56027221679688,6.252169609069824,NorOriente
52.0,2,False,c31d28e4-8df4-45ff-aa8b-23a2fc3135f8,Sin especificar,Estrato 2,Apartamento,1,0,180000000.0,Construbienes,BROKER,San Antonio de Prado,Medellín,-75.64747619628906,6.176513671875,SurOriente
78.0,3,False,8915a39c-678b-44eb-b634-01ec6b9cb5e5,1,Estrato 5,Apartamento,2,0,475000000.0,Rentahouse Colombia SAS,BROKER,La Loma de los Bernal,Medellín,-75.60034942626953,6.216446876525879,No Zone
140.0,3,False,56cd852a-3b0d-4d37-abb6-5ceeabe3deb9,Sin especificar,Estrato 5,Apartamento,3,0,780000000.0,Prointegral,BROKER,Los balsos no.2,Medellín,-75.57213592529297,6.20159912109375,SurOriente
120.0,3,False,8a86c30f-7b6e-4911-bc50-d0cce0b1ae37,1,Estrato 6,Apartamento,3,0,700000000.0,Arrendamientos Echeverri y Asociados,BROKER,San Lucas,Medellín,-75.56405639648438,6.1799445152282715,SurOriente
82.0,3,False,3c4a834e-553f-47d0-aac3-e9a17a7f84a9,1,Estrato 5,Apartamento,2,0,540000000.0,BEMSA,BROKER,LOMA DE SAN JULIAN,Medellín,-75.56719207763672,6.225508213043213,No Zone
172.0,4,False,a8fc3a4c-ab74-4cae-af83-8bf887182d57,1,Estrato 4,Apartamento,2,0,570000000.0,INMOBILIARIA LA HEREDAD,BROKER,Laureles,Medellín,-75.591796875,6.248325824737549,Occidente
248.0,3,False,9b8242ab-3ed7-4ff3-be9f-1eba67d271b2,3,Estrato 6,Apartamento,5,0,2850000000.0,CONFUTURO,BROKER,La Calera,Medellín,0.0,0.0,SurOriente
72.0,3,False,8e64e099-1f2c-49fb-a122-8f9de423ac66,Sin especificar,Estrato 3,Apartamento,2,0,295000000.0,Administracion de Bienes Inmobiliarios A&B,BROKER,Cordoba,Medellín,0.0,0.0,NorOccidente
75.0,3,False,f426ae6f-aaf5-4e28-b87d-25a7a093a5ff,Sin especificar,Estrato 3,Apartamento,2,0,300000000.0,Administracion de Bienes Inmobiliarios A&B,BROKER,Cordoba,Medellín,0.0,0.0,NorOccidente
342.0,3,False,a9fdf001-63dd-4a58-bbf2-f0bb079e05ff,2,Estrato 6,Apartamento,4,0,4700000000.0,Los Predios,BROKER,Los balsos no.1,Medellín,-75.55616760253906,6.1780548095703125,No Zone
115.0,3,False,7a393274-7e6c-4b41-b8dd-158f4786510b,1,Estrato 5,Apartamento,4,0,400000000.0,Los Predios,BROKER,Laureles,Medellín,-75.59459686279297,6.247307300567627,No Zone
80.0,3,False,c0df913a-b82b-40d7-85ae-a49d02bad25d,Sin especificar,Estrato 3,Apartamento,2,0,370000000.0,ARRENDAMIENTOS MEDELLIN,BROKER,Belén San Bernardo,Medellín,-75.59454345703125,6.227913856506348,No Zone
32.0,1,False,b270684b-eee7-434b-8560-21b9d218049b,Sin especificar,Estrato 6,Apartamento,1,0,400000000.0,Prointegral,BROKER,El diamante,Medellín,-75.57213592529297,6.20159912109375,SurOriente
68.0,3,False,3b9ae992-7443-4921-a560-9e8f734877df,Sin especificar,Estrato 3,Apartamento,2,0,260000000.0,Norte Inmobiliario S.A.S,BROKER,Barrio Triste,Medellín,-75.57598876953125,6.251249313354492,No Zone
88.0,3,False,7e5e06ac-d1e5-4b99-a370-c1f15822af52,1,Estrato 5,Apartamento,2,0,410000000.0,Teubicorealestate,BROKER,Belen La Palma,Medellín,-75.60270690917969,6.230431079864502,No Zone
208.0,3,False,2f8a52b7-24b6-4599-b307-9e6a7b40b859,3,Estrato 5,Apartamento,3,0,765000000.0,Proacuerdo S.A.S,BROKER,El Poblado,Medellín,-75.5658187866211,6.247637748718262,SurOriente
75.0,3,False,c1fe24a7-9e13-4b82-b966-ba71323da365,Sin especificar,Estrato 4,Apartamento,2,0,280000000.0,Arrendamientos Santa Fe,BROKER,La América,Medellín,-75.54340362548828,6.292036056518555,Occidente
280.0,4,False,54efc67d-c942-4cee-a360-be610e0c4102,3,Estrato 5,Apartamento,3,0,1780000000.0,Inverkasa Inmobiliaria,BROKER,El Poblado,Medellín,-75.60262298583984,6.202325344085693,SurOriente
195.0,5,False,6016713e-3d42-46e4-93ab-78455e041958,Sin especificar,Estrato 4,Apartamento,3,0,350000000.0,Arrendamientos Santa Fe,BROKER,La América,Medellín,-75.54340362548828,6.292036056518555,Occidente
132.0,4,False,8f50bf5a-bbb2-4643-afd5-85a04f9472da,2,Estrato 6,Apartamento,3,0,690000000.0,GRUPO INMOBILIARIO CABAL,BROKER,Conquistadores,Medellín,0.0,0.0,Occidente
175.0,4,False,10d5e9c2-6c62-489a-9349-a642f59c7402,1,Estrato 5,Apartamento,2,0,1150000000.0,GRUPO INMOBILIARIO CABAL,BROKER,Conquistadores,Medellín,0.0,0.0,Occidente
110.0,1,False,91a08b43-10de-4fa4-a4f4-284952cf0224,2,Estrato 5,Apartamento,2,0,500000000.0,GRUPO INMOBILIARIO CABAL,BROKER,Conquistadores,Medellín,0.0,0.0,Occidente
72.0,4,False,7465c231-7c61-46b3-85ea-eb0ecc0f8342,Sin especificar,Estrato 2,Apartamento,2,0,200000000.0,Arrendamientos Santa Fe,BROKER,Robledo,Medellín,-75.59044647216797,6.280363082885742,NorOccidente
131.0,4,False,0783f270-bb9f-406b-94e0-e7eeb57cf65f,1,Estrato 5,Apartamento,3,0,500000000.0,Conectar Inmobiliaria,BROKER,El Poblado,Medellín,-75.5807876586914,6.193251609802246,SurOriente
63.0,3,False,13d0a1f1-6d7d-475f-8912-958c1b7a4fc9,1,Estrato 4,Apartamento,2,0,354000000.0,Arrendamientos Santa Fe,BROKER,Robledo,Medellín,-75.59024810791016,6.271875381469727,NorOccidente
88.0,3,False,cee326a9-83e3-4d3a-907d-ca713f50122e,1,Estrato 3,Apartamento,2,0,420000000.0,Unión Inmobiliaria PR,BROKER,San Antonio de Prado,Medellín,-75.61290740966797,6.150283336639404,SurOriente
102.0,3,False,f0ae650e-ab9b-4b2a-8983-998ae3c4839d,1,Estrato 5,Apartamento,2,0,370000000.0,Arrendamientos Santa Fe,BROKER,Calasanz,Medellín,-75.54365539550781,6.291950702667236,NorOccidente
50.0,2,False,328587f5-bf08-444d-9203-76f0dec7087b,1,Estrato 3,Apartamento,2,0,205000000.0,Propiedades & Avaluos,BROKER,Centro administrativo,Medellín,-75.57369315395512,6.242587419580989,No Zone
106.0,3,False,4474d79f-101a-40ba-8ee5-efc310c47dac,2,Estrato 5,Apartamento,4,0,720000000.0,Ileana.Consultora Inmobiliaria. Propiedad Raíz.,BROKER,Laureles,Medellín,-75.60000610351562,6.250190258026123,Occidente
64.0,3,False,eeb5ec04-cd00-4bcd-bfa3-e0537ce0b8a1,Sin especificar,Estrato 4,Apartamento,2,0,310000000.0,GRUPO INMOBILIARIO CABAL,BROKER,Las Playas,Medellín,0.0,0.0,SurOccidente
260.0,5,False,e4a54e96-e541-4784-b9d5-6b9832adbee7,2,Estrato 6,Apartamento,5,0,950000000.0,Arrendamientos Santa Fe,BROKER,El Poblado,Medellín,-75.57266235351562,6.181459903717041,SurOriente
85.0,3,False,2ade28b8-72f9-4970-9cfc-a241266e8f73,Sin especificar,Estrato 5,Apartamento,3,0,350000000.0,Arrendamientos Santa Fe,BROKER,La Castellana,Medellín,-75.60604095458984,6.24189567565918,Occidente
